undefined,14376,14377,14378
02/21/2012,71000,15000,0
04/14/2012,21900,27200,0
04/16/2012,1670000,12200,0
04/20/2012,15900000,13300,0
02/05/2013,763000,,0
04/12/2013,915000,24100,0
05/17/2013,1240000,8950,0
05/24/2013,552000,18100,0
06/07/2013,674000,4940,0
06/14/2013,750000,4660,0
06/21/2013,2440000,6290,0
06/28/2013,1290000,18000,0
07/05/2013,931000,4500,0
07/12/2013,62400000,36200,0
07/22/2013,3920000,18800,0
07/30/2013,14200,3670,0
08/30/2013,2420000,71300,0
10/11/2013,785000,39000,0
11/08/2013,511000,14300,0
12/12/2013,251000,4030,0
01/03/2014,114000,4260,0
01/17/2014,1540000,10600,0
01/31/2014,643000,1170,0
02/14/2014,670000,2910,0
03/14/2014,1110000,13700,0
04/11/2014,4830000,9500,0
