undefined,14361,14362,14363
02/05/2013,325000,0,0
02/11/2013,255000,6190,0
02/13/2013,146000,3080,0
05/17/2013,138000,12300,0
05/24/2013,88500,17700,0
05/29/2013,353000,5880,0
06/03/2013,377000,12000,0
06/05/2013,132000,8040,0
06/07/2013,238000,8010,0
06/10/2013,101000,9530,0
06/14/2013,396000,32200,0
06/19/2013,603000,58000,0
06/21/2013,399000,16400,0
06/24/2013,548000,41200,0
06/26/2013,473000,49200,0
06/28/2013,314000,34500,0
07/02/2013,527000,68500,0
07/05/2013,267000,16400,0
07/08/2013,362000,44400,0
07/12/2013,426000,95200,0
07/22/2013,199000,40000,0
07/30/2013,53800,12500,0
08/30/2013,53800,39500,0
10/11/2013,187000,95900,0
11/08/2013,17100,20400,0
12/12/2013,4440,4310,0
01/03/2014,6840,18300,0
01/08/2014,10500,1750,0
01/17/2014,3320,15600,0
01/31/2014,5160,1230,0
02/14/2014,1370,5540,0
03/14/2014,7640,67600,20500
04/02/2014,20900,14200,0
04/11/2014,15800,18300,0
